	active|dispossess|goods|minimal
වලයාකාර	circular|annular|annulate
කණසම	hour|time
ප්‍රශාන්තිය	quiescence
කණ්ඩය	part|piece|section
අනාචාරියා	adulterer
කෝඩෙයින්	codeine
සභාව	assembly|audience|church|comitia|community|congregation|congress|council|gathering|meeting|mission|persuasion
මද්දහනය	midday
කලියාව	bridle
වමනය	sickness|vomit|vomiting
මඤ්ඤෝක්කා	cassava
බූමණිය	pappus
උග්‍රරාජ්‍යවාදය	fascism
දාවල්	day
සුදුමැලිබව	wanness
ක්‍රමපක්ෂයය	amortisation
අනාවිර්භූත	subconscious
වට්ටක	quail
රූඩිය	convention|idiom|usage
ඔංචිල්ලාව	swing
මධ්‍යපුරය	mediopolis
සම්බන්ධකම	closeness|congruence|congruity
වර්ගීකරණඥයා	systematist|taxonomist
පුනරාරෝපණය	recharging
තාක්ෂණ	carpentry|technical|technology
මනරඟ	pleasant
විල්	lake
අගුව	backyard|compound|eave
ස්තම්භිකාව	coloumella|columel|columella
දාම්ලෑල්ල	checkerboard
ඝනායිත	cubed
නාරිතන්ත්‍ර	gynaecocracy|gynocracy
පැතිරෙනවා	circulate|expand|flare|flash|overspread|permeate|radiate|reach|spread|stretch
අනවින	magic|sorcery
උපයොදනවා	adopt
මොනොකැරටින්	monocarotin
අන්තර්ග්‍රහණය	absorption|introception
ඇනොක්සියාව	anoxia
උදානාත්මක	lyrical
ගළනවා	flow|gush
විලම්බය	delay|lag
තෙල්	fats|grease|oil|oils
රුස්සනවා	abide|abided|abode|stand|stick|stomach|tolerate
අනාවැකිය	forecast|prediction|prophecy
අවශේෂිත	reserved
බ්‍රිතාන්‍යය	britain|british
ජීවප්‍රජාව	biocoenose
අර්ථය	behoof|benefit|economy|meaning|mood|purpose|reading|sense|significance|signification|wealth
නඛරාකාර	unguicular|unguiculate
ලොටේස්	lotase
ලැක්ටෝස්	lactose
නොගැළැපුම	incompatibility
ධූර්තයා	addict|coon|gambler|rake|rogue
ඇල්නියොන්	alneon
නූජනනය	noegenesis
ඇෂරයිට්	ascharite
කොටැංජනය	cotangent
භව්‍යත්ත්වය	condition
ඇසෙයොට්‍රෝපය	azeotrope
අසම්මේය	incommensurable
හඬකරය	howler
සංශ්‍රේණිය	sere
සංයෝගී	coefficient|confluent|constituent
කම්කරුවා	artisan|attendant|hand|labourer|operative|worker|workman
මාණ්ඩලිකයා	satrap|sirdar
සුභග	gifted
පූජාසනය	altar|shrine
හංවඩුව	brand|tattoo
නිරුත්තර	cogent|answerless|conclusive|decisive|irrefragable|silent|supreme
සමබර	balanced
තැඹැයුම	warranty
සූක්ෂ්මදර්ශකය	microscope
විස්ථායී	labile
බිහිදොර	exit|outlet
විරෝධාකල්පය	protest
ලේසර	laser
බිජුව	egg
ලාවණ්‍යය	beauty|salinity
ලෙවකනවා	lick
නිරාවරණය	exposure
ප්‍රතිවිචලකය	contravariant
වස්ත්‍රකෝෂ්ඨය	wardrobe
සාධන්තය	formant
අපිධානය	cover|lid
ප්‍රාක්පෝෂී	prototrophic
කිබල	kibble
බත්කෙණ්ඩ	calf
ගලකය	gullet
භූමිප්‍රදේශවාදය	territorialism
විසින්	by|per
ඇබිසීනියානු	abyssinian
උපපාදය	subbase
වේදිකාව	platform|platform|rostrum|stage|staging|stand
හ්වපුෂ්පීය	liguliflorate|liguliflorous
විකර්ණායනය	diagonalisation
සමීපස්ථ	imminent
දුරානනය	dyspnoea
දේවශාපය	visitation
දසවෙනි	tenth
සමජන්මාණුක	isogamous
ඇවැස්ස	consanguineous|german|intimate
උද්‍රෝහක	adscendent|ascendens|ascendent|ascending
මේදාතිසාරය	steatorrhoea
පුෂ්පගර්භය	calix|calyx
වර්ගඥයා	taxonomist
ඩුරේලියම්	duralium
සථීරත්වය	stability|stableness
සමාවිෂ්ටය	content
ශාස්ත්‍රිය	academic
ඇල්මැරුණුකම	tepidity
සමචතුරස්‍රගත	squared
අනිරූපාත්මක	non-representational
පසුගාමී	regressive
කලහකරුවා	combat
මයික්‍රෝණය	micron
යටිලකුණු	subscript
අනුනාදී	resonant|resounding
බ්‍රාහ්මණ	brahmin
අනුඛණ්ඩිකාව	lobule|lobulus
දේවස්ථානය	chapel|church|kirk|sanctuary|temple
ජලක්‍රීඩාව	watersport
පුර	city|full
චීනච්චට්ටි	cast-iron
ලභ්‍යය	due
පබල	powerful
ලෝකචාරය	convention
බන්ධනය	clamp|attachment|binding|bond|bondage|brace|chain|composition|grip|link|linkage|marriage|merger|nexus|obligation|obstriction|relation|yoke
කීලපාදය	stylopod|stylopodium
පොංචිය	punch|puncher
කොමල	charming|delicate|soft
ඇසෙන	audible
නිග්‍රිලයා	negrillo
පෝලියෝමයිලයිටිස්	poliomyelitis
නාගරූපී	cobriform
අවිෂමක්‍රිම	isokurtic
සුභාෂණීය	elocutionary
පල්ලිය	abbey|chapel|church|kirk|school
බුහුරු	hole
පරිතෝෂය	giddiness|gratification|gratuity|pleasure
සමචක්‍රිය	homocyclic
සනුරනවා	signal
එන්තැල්පිය	enthalpy
සංස්ථානක	draftsman
විධිරේඛය	nomogram|nomograph|normogram
ද්‍රව්‍යසංස්ථාවාදය	hylosystemism
ඡායාමාත්‍රය	semblance
දුක්ප්‍රාප්තිය	passion
බෙහෙද	medicine
මානවමිතිය	anthropometry
අකිංචනය	nothingness
බූත	madness
සෝරසය	juice
ලඝුලේඛකයා	stenographer
ඉවත්කරනවා	remove
මාර්ගයෝග්‍ය	roadworthy
වටහනවා	explain|understand
ඔසවනවා	erect|hoist|lift|raise|rear|up-raise|weigh
විපාක	retribution
ඉසිලුවා	bore
අමුණුම	affixture
තාරාමණ්ඩලය	iris
ප්‍රභාගය	one-fourth
ප්ලාවතය	float
අපකිරණ	disperse|dispersed
සාර්ථකත්වය	success
පැරල්ඩිහයිඩ්	paraldehyde
පයිරුපාසනය	association
නොතකන	unheedful
විවසනවා	segregate
සසීම	restricted
කවලම	amalgam
කොටස්	quarters|shares|parts
විද්‍යුතාගමනය	electro-phoresis|electrophoresis
පැවැත්වීම	maintenance|observance
බියපත්	frigthtened
ගංඉවුර	riverside
මානවාභ	hominoid
පාදරෝගවචිකිත්සක	chiropodist
හොලිපරය	holliper
පූතිරක්තතාව	septicaemia
පෘථිවිය	earth|globe
පිටලෑල්ල	outer-plank
කොම්ප්‍රදෝරු	compradore
ඔත්තුබලන්නා	spy
රක්තසාන්ද්‍රණය	haemoconcentration
ඇලිසරීන්	alizarine
අතිසූර්යතාපනය	solarization
සකසනවා	adjust|collocate|arrange|condition|decorate|make
අඩුවෙන්	less|low|short|under
ඇඟෙනවා	feel
ස්වල්ප	faint|few|little|meagre|several|slight|small|tiny
පැසවීම	concoction|fermentation
කැනේඩියානු	canadian
ගැබ්ගන්නවා	conceive
පාලිකය	phalanx
යමහල්	volcanic
පහරුගානවා	scratch
ශිලා	rock|stone
ආඝ්‍රාණය	olfaction|smelling
සූවකාග්‍ර	mucronate
විටියල	implements
අර්පෙඩ්සොනයිට්	arfvedsonite
හෙක්සහයිඩ්‍රික	hexahydric
ක්‍රියාවේගය	impulsion
අයඩේට්	iodate
ඇම්පෙලයිට්	ampelite
ප්‍රසරය	currency|outgrowth|process|spreading
විවා	marriage
මුහුන්	coagulant|coagulation|cross|culture|ferment|hybrid|leaven|rennet
ඩිකාමිතෝනියම්	decamethonium
අන්තර්වාර්තුලිකාභය	hypotrochoid
නභෝතලය	sky
ලෑටිගානවා	browse|gnaw|nibble
පුරෝකථ්‍ය	predictive
අක්ෂරය	character|letter|syllable
ධ්‍රැවණශීලතාව	polarisability
නවනීත	ghee
රෙසිනීකරණය	resinification
ව්‍යාකරණය	shearing
ඉක්මවා	out
ජුංතාව	junta
ඇලීලරූප	allelomorphic
ජාලාව	flame|network
ඓහීකරණය	secularisation|secularization
හිස්	abortive|addle|banal|bankrupt|bare|barren|blank|devoid|duff|empty|head|hollow|jejune|nugatory|unoccupied|vacant|vacuous|void
අන්තර්මානස	endopsychic
රාක්ෂසයා	fiend|monster|ogre
ඛීර	milk|small|white
කණ්ඩරාව	tendon
කාබොහයිඩ්‍රේට	carbohydrates
කණ්ඩුතිය	pruritus
සවාසන	fortunate
පූජකභාවය	priesthood
රහස්බව	secrecy
පිසිකල්	fiscal
කපනකටුව	edge-tool
ට්‍රොපොප්ලාස්මය	trophoplasm
ඊයේ	last|yester|yesterday|yesternight
බට්ටිච්චා	chaffinch
කැළෑරොද	spinney
බෝඩරය	border
තැම්බුම්සාරය	infusion
පරලොම	furlong
මාළුකාරයා	fisherman
ප්‍රධාන	arch|capital|cardinal|central|chief|compelling|crowing|dominant|especial|first|foremost|fundamental|general|grand|great|head|high|lead|main|major|master|material|pivotal|primary|prime|principal|radical|ruling|salient|staple
ප්‍රභාකර	sun
හගිස්සනවා	ascertain|confirm
නිපුස්	neuter
විඵලතාව	infecundity
එක්ව	co|conjointly|jointly|together
පණුවා	worm
පරමාදර්ශවාදය	idealism
සනාථකරනවා	substantiate
නීහාරය	embezzlement
වාර්තාව	account|bill|chronicle|documentary|record|report|return|returns|transaction
අධියාචකයා	pleader
දැඩි	adamant|close|atrox|callous|dense|fast|firm|gross|hard|hardy|inflexible|iron|manful|resistant|resolute|rigid|rooted|rough|severe|stable|staunch|steady|steely|stern|stony|strait-laced|strict|stringent|strong|stubborn|substantial|tough|unbending|unmoved
නොඅනුදත්	unauthorised
අධෝලිපිය	foot-note|footnote|scholium
විජ්වරී	quinine
පඩිනඩි	emoluments
ගුගුරන්නා	bellower
ප්‍රතිපරාමර්ශය	retouching
කඩුකොපුව	scabbard
භර්තෘ	husband|lord
විකුණනවා	cry|sell|vend
ථාවර	permanent
ඔක්සිකාරීමිතිය	oxidimetry
වසමග	cloaca
ව්‍යපගමනය	deviation
පාරිභාෂාවේදය	terminology
තාලමාපනය	metronome
හූබඳ	stringer
අනිවාරකය	compulsion
මානසගෝලය	noosphere
පැසෙනවා	boil|brew|ferment|mature|mellow
දයාබර	affectionate|benevolent|benignant|darling|dear|humane|kind|loving|soft-hearted|sympathetic
කාලීන	provisional|temporal|temporary|timely|topical
අපසාරිතාව	divergence
රථාචාර්යා	chauffer
අධිකාරී	authority|boss|commissionaire|comptroller|conservator|controller|director|minister|superintendant
ඡද්මය	hymen
අඩයටිය	javelin
පෙරෝචුම්බකත්වය	ferromagnetism
නිලධාරිවාදය	bureaucracy
තුසරකර	moon
නයා	cobra
ඇශූරයිට්	azurite
